,id,start_time,gender,age,education,word_per_sec,qual_correct,total_correct,skim_correct,in_depth_correct,skim_labels,in_depth_labels,other_labels
0,8e274deb,2016-10-12 10:21:08.863000,Male,18-24,High_School,4.20323962176,4.0,6.0,5.0,1.0,5.0,1.0,12.0
1,3e06a4b5,2016-10-11 15:03:14.688000,Female,18-24,College,1.71659512383,5.0,11.0,7.0,4.0,4.0,4.0,10.0
